,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
147,147,0.8453125,2022-10-29 16:34:52.998424,2022-10-29 16:34:53.264230,0 days 00:00:00.265806,801,70.0,30,COMPLETE
148,148,0.865625,2022-10-29 16:34:53.264711,2022-10-29 16:34:53.641366,0 days 00:00:00.376655,921,70.0,10,COMPLETE
149,149,0.840625,2022-10-29 16:34:53.642111,2022-10-29 16:34:53.999396,0 days 00:00:00.357285,921,80.0,30,COMPLETE
150,150,0.846875,2022-10-29 16:34:54.000068,2022-10-29 16:34:54.390318,0 days 00:00:00.390250,581,70.0,50,COMPLETE
151,151,0.8734375,2022-10-29 16:34:54.390834,2022-10-29 16:34:54.748753,0 days 00:00:00.357919,1161,70.0,10,COMPLETE
152,152,0.8609375,2022-10-29 16:34:54.749224,2022-10-29 16:34:55.067743,0 days 00:00:00.318519,1171,70.0,10,COMPLETE
153,153,0.8421875,2022-10-29 16:34:55.068188,2022-10-29 16:34:55.466100,0 days 00:00:00.397912,1011,70.0,10,COMPLETE
154,154,0.8515625,2022-10-29 16:34:55.466706,2022-10-29 16:34:55.958067,0 days 00:00:00.491361,861,70.0,30,COMPLETE
155,155,0.8390625,2022-10-29 16:34:55.958678,2022-10-29 16:34:56.223208,0 days 00:00:00.264530,451,70.0,50,COMPLETE
156,156,0.825,2022-10-29 16:34:56.223686,2022-10-29 16:34:56.542797,0 days 00:00:00.319111,711,10.0,30,COMPLETE
157,157,0.8453125,2022-10-29 16:34:56.545359,2022-10-29 16:34:57.024256,0 days 00:00:00.478897,1111,70.0,90,COMPLETE
158,158,0.871875,2022-10-29 16:34:57.024736,2022-10-29 16:34:57.309503,0 days 00:00:00.284767,921,50.0,10,COMPLETE
159,159,0.8421875,2022-10-29 16:34:57.309977,2022-10-29 16:34:57.753787,0 days 00:00:00.443810,831,60.0,50,COMPLETE
160,160,0.85625,2022-10-29 16:34:57.754254,2022-10-29 16:34:58.019271,0 days 00:00:00.265017,941,50.0,10,COMPLETE
161,161,0.8765625,2022-10-29 16:34:58.019728,2022-10-29 16:34:58.293517,0 days 00:00:00.273789,1011,50.0,10,COMPLETE
162,162,0.8828125,2022-10-29 16:34:58.294004,2022-10-29 16:34:58.561197,0 days 00:00:00.267193,1061,50.0,10,COMPLETE
163,163,0.834375,2022-10-29 16:34:58.561760,2022-10-29 16:34:59.486623,0 days 00:00:00.924863,1251,50.0,430,COMPLETE
164,164,0.85625,2022-10-29 16:34:59.488092,2022-10-29 16:34:59.854521,0 days 00:00:00.366429,1041,50.0,30,COMPLETE
165,165,0.83125,2022-10-29 16:34:59.855213,2022-10-29 16:35:00.458521,0 days 00:00:00.603308,1131,50.0,70,COMPLETE
166,166,0.846875,2022-10-29 16:35:00.464883,2022-10-29 16:35:01.046252,0 days 00:00:00.581369,921,50.0,50,COMPLETE
