,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
179,179,0.7484375,2022-10-29 16:44:08.673846,2022-10-29 16:44:08.816018,0 days 00:00:00.142172,451,20.0,350,COMPLETE
180,180,0.7125,2022-10-29 16:44:08.816473,2022-10-29 16:44:08.939029,0 days 00:00:00.122556,411,20.0,350,COMPLETE
181,181,0.7406250000000001,2022-10-29 16:44:08.939483,2022-10-29 16:44:09.106537,0 days 00:00:00.167054,561,20.0,430,COMPLETE
182,182,0.7046874999999999,2022-10-29 16:44:09.106998,2022-10-29 16:44:09.275262,0 days 00:00:00.168264,541,20.0,430,COMPLETE
183,183,0.709375,2022-10-29 16:44:09.275726,2022-10-29 16:44:09.387096,0 days 00:00:00.111370,321,20.0,410,COMPLETE
184,184,0.703125,2022-10-29 16:44:09.387543,2022-10-29 16:44:09.536903,0 days 00:00:00.149360,491,20.0,530,COMPLETE
185,185,0.7281250000000001,2022-10-29 16:44:09.537378,2022-10-29 16:44:09.609086,0 days 00:00:00.071708,171,20.0,490,COMPLETE
186,186,0.7203125,2022-10-29 16:44:09.609534,2022-10-29 16:44:09.801978,0 days 00:00:00.192444,641,20.0,390,COMPLETE
187,187,0.7109375,2022-10-29 16:44:09.802455,2022-10-29 16:44:09.938531,0 days 00:00:00.136076,441,30.0,450,COMPLETE
188,188,0.7375,2022-10-29 16:44:09.939011,2022-10-29 16:44:10.105523,0 days 00:00:00.166512,601,20.0,310,COMPLETE
189,189,0.7078125000000001,2022-10-29 16:44:10.105988,2022-10-29 16:44:10.206861,0 days 00:00:00.100873,281,20.0,370,COMPLETE
190,190,0.6906249999999999,2022-10-29 16:44:10.207315,2022-10-29 16:44:10.699772,0 days 00:00:00.492457,1901,20.0,350,COMPLETE
191,191,0.734375,2022-10-29 16:44:10.700312,2022-10-29 16:44:10.879328,0 days 00:00:00.179016,591,20.0,290,COMPLETE
192,192,0.7359375,2022-10-29 16:44:10.879917,2022-10-29 16:44:11.041766,0 days 00:00:00.161849,541,20.0,310,COMPLETE
